id,category,question,expected_answer,generated_answer,term_recall,matched_terms,unsupported_facts,accuracy,completeness,hallucination_free,source_reference
cost_01,cost,"Подскажи цену за год по Компьютерной безопасности в ВШЭ Москва, я что то не вижу в таблице",один год по программе Компьютерная безопасность в Москве стоит 560 тыс руб,"- Положение о предоставлении скидок по оплате обучения студентам, обучающимся по договорам об образовании, заключаемым при приеме на обучение за счет средств физических и (или) юридических лиц - Стоимость для поступающих на обучение по образовательным программам высшего образования - программам бакалавриата, программам специалитета НИУ ВШЭ (г. Москва) в 2025 году - Стоимость для поступающих на обучение по образовательным программам высшего образования - программам бакалавриата, программам специалитета НИУ ВШЭ – Нижний Новгород в 2025 году - Стоимость для поступающих на обуч
Источник: Информирование о приеме – 2026 – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики»",0.0,[],[],0,0.0,1,1
cost_02,cost,"Математика в ВШЭ Москва сколько стоит в год, можно просто цифру",один год по программе Математика в Москве стоит 520 тыс руб,"т широкий выбор — более 200 программ из различных областей во всех кампусах. При этом НИУ ВШЭ не стоит на месте и ежегодно открывает новые программы, среди которых уже можно найти: «Информационная безопасность систем искусственного интеллекта» (Москва); «Нейробиология» (Москва);
Источник: Опубликованы правила приема на 2026 год — Национальный исследовательский университет «Высшая школа экономики»",0.0,[],[],0,0.0,1,1
cost_03,cost,"А если ПМИ, то сколько денег за год, я про Прикладную математику и информатику",один год по программе Прикладная математика и информатика в Москве стоит 850 тыс руб,"гот для вас вы можете найти здесь. Помните также, что в вашем случае льгота должна быть обязательно подтверждена результатом в 75 или более баллов ЕГЭ по профильному предмету (для некоторых предметов пороговое значение выше: 80 или 85 баллов). Победители и призеры олимпиад школьников могут воспользоваться льготой (БВИ или 100 баллов) в течение 4 лет, следующих за годом проведения соответствующей олимпиады. Например, если вы получили диплом олимпиады в 2020/2021 учебном году, то при поступлении в 2025 году вы можете воспользоваться данной олимпиадой. Обратите внимание, что при предоставлении особых прав также учитывается класс, за который был получен диплом олимпиады.
Источник: Иностранным абитуриентам – Национальный исследовательский университет «Высшая школа экономики»",0.0,[],[],0,0.0,1,1
cost_04,cost,"Онлайн комп науки и анализ данных, сколько выходит за год обучения",один год по программе Компьютерные науки и анализ данных онлайн в Москве стоит 550 тыс руб,"VII. Онлайн-программы Да, в Вышке есть 5 онлайн-программ: ""Компьютерные науки и анализ данных"", ""Экономический анализ"", ""Глобальные цифровые коммуникации"" в московском кампусе, а также ""Дизайн"" и ""Программные системы и автоматизация процессов разработки"" в Перми. Данные программы устроены точно так же, как и все офлайн-программы. Основное отличие онлайн-программ заключается в том, что занятия можно посещать, не выходя из дома, так как все занятия проводятся в онлайн-формате. Более того, записи лекций и семинаров Фрагмент 2
Источник: Часто задаваемые вопросы — 2025 – Абитуриентам бакалавриата – Национальный исследовательский университет «Высшая школа экономики»",0.0,[],[],0,0.0,1,1
cost_05,cost,"Прикладная математика не ПМИ, а просто Прикладная математика, сколько в год",один год по программе Прикладная математика в Москве стоит 500 тыс руб,"60 Направление подготовки 01.03.04 Прикладная математика Бюджетные места: с 20 июня по 25 июля
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.5,['прикладная математика'],[],0,0.5,1,1
cost_06,cost,"Физика в Москве в ВШЭ сколько стоит в год, я путаюсь",один год по программе Физика в Москве стоит 530 тыс руб,"Опубликованы правила приема на 2026 год 20 января университеты по всей стране опубликовали правила приема на 2026 год. Абитуриенты НИУ ВШЭ уже могут узнать ключевые детали будущей приемной кампании: какие образовательные программы доступны и какие вступительные испытания необходимо сдать, какие олимпиады и индивидуальные достижения могут помочь повысить шансы на поступление, сколько выделено бюджетных мест и о каких ключевых датах следует помнить. Отвечаем на эти вопросы и делимся основными новшествами 2026 года. П Фрагмент 5
Источник: Приложение 1.pdf",0.0,[],[],0,0.0,1,1
cost_07,cost,"Химия новых материалов, сколько платить за год, это ВШЭ Москва",один год по программе Химия новых материалов в Москве стоит 530 тыс руб,"60 Направление подготовки 04.03.02 Химия, физика и механика материалов молекулярная теория строения
Источник: Приложение 1.pdf",0.0,[],[],0,0.0,1,1
cost_08,cost,"Клеточная и молекулярная биотехнология, это сколько в год стоит",один год по программе Клеточная и молекулярная биотехнология в Москве стоит 600 тыс руб,"с 20 июня по 03 августа 2026 года 2026 года русский язык
Источник: Приложение 1.pdf",0.0,[],[],0,0.0,1,1
cost_09,cost,"Когнитивная нейробиология, сколько год обучения, можно кратко",один год по программе Когнитивная нейробиология в Москве стоит 600 тыс руб,"т широкий выбор — более 200 программ из различных областей во всех кампусах. При этом НИУ ВШЭ не стоит на месте и ежегодно открывает новые программы, среди которых уже можно найти: «Информационная безопасность систем искусственного интеллекта» (Москва); «Нейробиология» (Москва);
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.0,[],[],0,0.0,1,1
cost_10,cost,"Городское планирование, какой ценник за год, Москва",один год по программе Городское планирование в Москве стоит 650 тыс руб,"ания «Девелопмент и городское планирование» — бакалавриат по направлению подготовки 07.03.04 «Градостроительство», срок получения образования по этому стандарту при очной форме обучения составляет 5 лет. Для набора 2026 года планируется специализация на 3 курсе по следующим траекториям: - Девелопмент;
Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики»",0.5,['городское планирование'],[],0,0.5,1,1
