id,category,question,expected_answer,generated_answer,term_recall,matched_terms,unsupported_facts,accuracy,completeness,hallucination_free,source_reference
cost_01,cost,"Подскажи цену за год по Компьютерной безопасности в ВШЭ Москва, я что то не вижу в таблице",один год по программе Компьютерная безопасность в Москве стоит 560 тыс руб,"Ответ: Стоимость обучения за один год по образовательной программе «Компьютерная безопасность» в НИУ ВШЭ (Москва) составляет 560 тыс. руб.
Источник: Приложение 1_Москва.pdf",1.0,"['компьютерная безопасность', '560']",[],1,1.0,1,1
cost_02,cost,"Математика в ВШЭ Москва сколько стоит в год, можно просто цифру",один год по программе Математика в Москве стоит 520 тыс руб,"Ответ: 75
Источник: Приложение 1.pdf",0.0,[],[],0,0.0,1,1
cost_03,cost,"А если ПМИ, то сколько денег за год, я про Прикладную математику и информатику",один год по программе Прикладная математика и информатика в Москве стоит 850 тыс руб,"Ответ: Точная стоимость за год обучения для Прикладной математики и информатики не указана в данном фрагменте.
Источник: Приложение 1.pdf",0.0,[],[],0,0.0,1,1
cost_04,cost,"Онлайн комп науки и анализ данных, сколько выходит за год обучения",один год по программе Компьютерные науки и анализ данных онлайн в Москве стоит 550 тыс руб,"Ответ: Точная стоимость за год обучения для онлайн-программы ""Компьютерные науки и анализ данных"" отсутствует в данном контексте.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.0,[],[],0,0.0,1,1
cost_05,cost,"Прикладная математика не ПМИ, а просто Прикладная математика, сколько в год",один год по программе Прикладная математика в Москве стоит 500 тыс руб,"Ответ: Прикладная математика стоит 500 тысяч рублей в год.
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",1.0,"['прикладная математика', '500']",[],1,1.0,1,1
cost_06,cost,"Физика в Москве в ВШЭ сколько стоит в год, я путаюсь",один год по программе Физика в Москве стоит 530 тыс руб,"Ответ: Точная стоимость платных мест по направлению физики в Москве в НИУ ВШЭ в 2026 году не указана в данном фрагменте.
Источник: Приложение 1.pdf",0.0,[],[],0,0.0,1,1
cost_07,cost,"Химия новых материалов, сколько платить за год, это ВШЭ Москва",один год по программе Химия новых материалов в Москве стоит 530 тыс руб,"Ответ: Точная стоимость за год обучения для направления ""Химия новых материалов"" в ВШЭ Москва не указана в данном фрагменте.
Источник: Приложение 1.pdf",0.5,['химия новых материалов'],[],0,0.5,1,1
cost_08,cost,"Клеточная и молекулярная биотехнология, это сколько в год стоит",один год по программе Клеточная и молекулярная биотехнология в Москве стоит 600 тыс руб,"Ответ: 600 рублей в год
Источник: 6.18-01_180225-3 Приложение 1_Москва.pdf",0.5,['600'],[],0,0.5,1,1
cost_09,cost,"Когнитивная нейробиология, сколько год обучения, можно кратко",один год по программе Когнитивная нейробиология в Москве стоит 600 тыс руб,"Ответ: 6 лет обучения.
Источник: Приложение 1.pdf",0.0,[],[],0,0.0,1,1
cost_10,cost,"Городское планирование, какой ценник за год, Москва",один год по программе Городское планирование в Москве стоит 650 тыс руб,"Ответ: Точная стоимость за год обучения в программе «Девелопмент и городское планирование» не указана в данном фрагменте.
Источник: Часто задаваемые вопросы — Образовательная программа «Девелопмент и городское планирование» — Национальный исследовательский университет «Высшая школа экономики»",0.5,['городское планирование'],[],0,0.5,1,1
cost_11,cost,"Информатика и вычислительная техника, сколько стоит год, я не нашел строку",один год по программе Информатика и вычислительная техника в Москве стоит 540 тыс руб,"Ответ: Год обучения по направлению подготовки 09.03.01 Информатика и вычислительная техника стоит 60.
Источник: Приложение 1.pdf",0.5,['информатика и вычислительная техника'],[],0,0.5,1,1
